section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
AI & ML,ML Formula,Easy,Recall (Sensitivity) = ?,TP/(TP + FN),TP/(TP + FP),TN/(TN + FN),FP/(FP + TN),A
AI & ML,ML Formula,Medium,Specificity = ?,TN/(TN + FP),TP/(TP + FN),TN/(TN + FN),FP/(FP + TN),A
AI & ML,ML Formula,Medium,F1-Score = ?,2 × (Precision × Recall)/(Precision + Recall),Precision + Recall,Precision × Recall,(Precision + Recall)/2,A
AI & ML,ML Formula,Hard,F-beta Score = ?,(1 + β²) × (P × R)/(β²P + R),β × (P + R),P × R × β,(P + R)/(2β),A
AI & ML,ML Formula,Easy,Sigmoid function σ(x) = ?,1/(1 + e^−x),e^x/(1 + e^x),1 − e^−x,tanh(x/2),A
AI & ML,ML Formula,Medium,Softmax: P(class k) = ?,e^zₖ / Σⱼ e^zⱼ,zₖ / Σzⱼ,e^zₖ,1/(1 + e^−zₖ),A
AI & ML,ML Formula,Easy,ReLU: f(x) = ?,"max(0, x)","max(−1, x)","min(0, x)",|x|,A
AI & ML,ML Formula,Medium,Tanh: f(x) = ?,(e^x − e^−x)/(e^x + e^−x),1/(1 + e^−x),"max(0,x)",e^x,A
AI & ML,ML Formula,Hard,Leaky ReLU: f(x) = ?,"max(αx, x) where α is small positive","max(0, x)","min(αx, x)",αx for all x,A
AI & ML,ML Formula,Hard,ELU: f(x) = ?,"x if x>0, else α(e^x − 1)","max(0,x)","αx if x<0, else x",x²,A
AI & ML,ML Formula,Medium,Cross-entropy loss (binary) = ?,−[y log(p) + (1−y) log(1−p)],−Σyᵢ log(pᵢ),Σ(y − p)²,−log(p),A
AI & ML,ML Formula,Hard,Cross-entropy loss (multiclass) = ?,−Σₖ yₖ log(pₖ),−log(pₖ),Σ(yₖ − pₖ)²,−y log(p),A
AI & ML,ML Formula,Easy,Gradient descent update rule: w = ?,w − η∇L(w),w + η∇L(w),∇L(w) − w,w/∇L(w),A
AI & ML,ML Formula,Easy,L1 regularization penalty = ?,λΣ|wᵢ|,λΣwᵢ²,λ√Σwᵢ²,λΣwᵢ,A
AI & ML,ML Formula,Easy,L2 regularization penalty = ?,λΣwᵢ²,λΣ|wᵢ|,λΣwᵢ,λ√Σwᵢ²,A
AI & ML,ML Formula,Hard,Elastic Net = ?,αλΣ|wᵢ| + (1−α)λΣwᵢ²,λΣ|wᵢ| + λΣwᵢ²,λΣ|wᵢ| only,λΣwᵢ² only,A
AI & ML,ML Formula,Easy,KNN distance (Euclidean) = ?,√Σ(xᵢ − yᵢ)²,Σ|xᵢ − yᵢ|,max|xᵢ − yᵢ|,Σ(xᵢ − yᵢ),A
AI & ML,ML Formula,Easy,Manhattan distance = ?,Σ|xᵢ − yᵢ|,√Σ(xᵢ − yᵢ)²,max|xᵢ − yᵢ|,Σ(xᵢ − yᵢ)²,A
AI & ML,ML Formula,Medium,Cosine similarity = ?,(A·B)/(|A||B|),A·B,|A−B|,A×B/|A+B|,A
AI & ML,ML Formula,Hard,Naive Bayes: P(y|x) ∝ ?,P(y) × ΠP(xᵢ|y),P(y) + ΣP(xᵢ|y),P(xᵢ|y)/P(y),P(y)/P(x),A
AI & ML,ML Formula,Medium,Bayes theorem: P(A|B) = ?,P(B|A)P(A)/P(B),P(A)P(B),P(B|A)/P(A),P(A)×P(B|A),A
AI & ML,ML Formula,Medium,Entropy: H(X) = ?,−Σ p(x) log₂ p(x),Σ p(x) log₂ p(x),−Σ p(x),Σ p(x)²,A
AI & ML,ML Formula,Medium,Information Gain = ?,Entropy(parent) − weighted Entropy(children),Entropy(parent) + Entropy(children),Entropy(parent)/Entropy(children),Entropy(children) − Entropy(parent),A
AI & ML,ML Formula,Hard,Gini impurity = ?,1 − Σ pᵢ²,Σ pᵢ²,Σ pᵢ(1−pᵢ),−Σ pᵢ log pᵢ,A
AI & ML,ML Formula,Hard,KL Divergence: D_KL(P||Q) = ?,Σ P(x) log(P(x)/Q(x)),Σ P(x) log(Q(x)/P(x)),Σ|P(x) − Q(x)|,Σ(P(x) − Q(x))²,A
AI & ML,ML Formula,Hard,Jensen-Shannon Divergence = ?,(1/2)[D_KL(P||M) + D_KL(Q||M)] where M=(P+Q)/2,D_KL(P||Q),D_KL(Q||P),(D_KL(P||Q) + D_KL(Q||P))/2,A
AI & ML,ML Formula,Hard,Pearson correlation: r = ?,Σ(xᵢ−x̄)(yᵢ−ȳ)/[√Σ(xᵢ−x̄)²√Σ(yᵢ−ȳ)²],"Cov(X,Y)","Cov(X,Y)/Var(X)",Σxᵢyᵢ/n,A
AI & ML,ML Formula,Medium,"Covariance: Cov(X,Y) = ?",E[(X−μₓ)(Y−μᵧ)],E[X]E[Y],E[X+Y],Var(X)+Var(Y),A
AI & ML,ML Formula,Easy,Variance: Var(X) = ?,E[(X−μ)²],E[X]²,E[X²],E[X],A
AI & ML,ML Formula,Easy,Standard deviation = ?,√Var(X),Var(X)²,Var(X)/n,1/Var(X),A
AI & ML,ML Formula,Hard,Bias of an estimator = ?,E[θ̂] − θ (expected estimate minus true value),θ − E[θ̂],Var(θ̂),E[(θ̂−θ)²],A
AI & ML,ML Formula,Hard,MSE of estimator = Bias² + ?,Variance,Standard deviation,Covariance,Correlation,A
AI & ML,ML Formula,Easy,Z-score standardization: z = ?,(x − μ)/σ,(x − min)/(max − min),x/σ,(x − median)/IQR,A
AI & ML,ML Formula,Easy,Min-Max normalization: x' = ?,(x − min)/(max − min),(x − μ)/σ,x/max,x − min,A
AI & ML,ML Formula,Hard,Silhouette score: s(i) = ?,"(b(i) − a(i))/max(a(i), b(i))",a(i)/(b(i)+a(i)),b(i)−a(i),a(i)/b(i),A
AI & ML,ML Formula,Hard,Adjusted Rand Index (ARI) = ?,(RI − Expected_RI)/(max_RI − Expected_RI),RI directly,RI × 2,RI − 0.5,A
AI & ML,ML Formula,Medium,Support in association rules = ?,count(A∪B)/N,P(B|A),P(A)×P(B),count(A)/N,A
AI & ML,ML Formula,Medium,Confidence in association rules = ?,count(A∪B)/count(A),count(A∪B)/N,P(A)/P(B),count(B)/N,A
AI & ML,ML Formula,Hard,Lift = ?,Support(A∪B)/(Support(A)×Support(B)),Confidence(A→B)/Support(A),Support(A)/Support(B),P(A∩B),A
AI & ML,ML Formula,Easy,AUC (Area Under ROC) ideal value:,1.0 (perfect; random = 0.5),0.5,0.0,0.75,A
AI & ML,ML Formula,Medium,"ROC curve axes: X=?, Y=?","X=FPR (1-Specificity), Y=TPR (Recall/Sensitivity)","X=Precision, Y=Recall","X=Accuracy, Y=Loss","X=Recall, Y=Precision",A
AI & ML,ML Formula,Medium,FPR = ?,FP/(FP + TN),TP/(TP + FP),FN/(FN + TP),TN/(TN + FP),A
AI & ML,ML Formula,Hard,Precision-Recall AUC is better than ROC AUC when:,Dataset is heavily imbalanced,Dataset is balanced,Model is neural network,Model is linear,A
AI & ML,ML Formula,Hard,Log loss = ?,−(1/n)Σ[yᵢ log(ŷᵢ) + (1−yᵢ)log(1−ŷᵢ)],(1/n)Σ(yᵢ−ŷᵢ)²,−Σyᵢ log(ŷᵢ),Σ|yᵢ−ŷᵢ|,A
AI & ML,ML Formula,Hard,Huber loss (δ): for |y−ŷ| ≤ δ = ?,0.5(y−ŷ)²,δ|y−ŷ| − 0.5δ²,|y−ŷ|,(y−ŷ)²,A
AI & ML,ML Formula,Hard,Huber loss: for |y−ŷ| > δ = ?,δ|y−ŷ| − 0.5δ²,0.5(y−ŷ)²,(y−ŷ)²,|y−ŷ|,A
AI & ML,ML Formula,Hard,Hinge loss = ?,"max(0, 1 − y×ŷ)","max(0, y−ŷ)",y log(ŷ),(y−ŷ)²,A
AI & ML,ML Formula,Hard,Triplet loss = ?,"max(0, d(a,p) − d(a,n) + margin)","d(a,p) − d(a,n)","d(a,n) − d(a,p)","|d(a,p) − d(a,n)|",A
AI & ML,ML Formula,Hard,Contrastive loss = ?,"y×d² + (1−y)×max(0, m−d)²","y×max(0,m−d)",(1−y)×d²,|y−d|,A
AI & ML,ML Formula,Hard,Focal loss = ?,−α(1−pₜ)^γ log(pₜ),−log(pₜ),−(1−pₜ)log(pₜ),−γ log(pₜ),A
AI & ML,ML Formula,Hard,Dice coefficient = ?,2|A∩B|/(|A|+|B|),|A∩B|/|A∪B|,2|A∩B|/|A|×|B|,|A∩B|/|A|,A
AI & ML,ML Formula,Medium,IoU (Intersection over Union) = ?,Area of Overlap / Area of Union,Area of Overlap only,Area of Union only,Overlap / Area of A,A
AI & ML,ML Formula,Hard,MAP (Mean Average Precision) in detection = ?,Mean of AP across all classes,Average precision for one class,Mean of all precisions,Average recall,A
AI & ML,ML Formula,Hard,OLS solution: β = ?,(XᵀX)⁻¹Xᵀy,Xᵀy,(Xᵀy)⁻¹X,Xy,A
AI & ML,ML Formula,Hard,Ridge regression solution: β = ?,(XᵀX + λI)⁻¹Xᵀy,(XᵀX)⁻¹Xᵀy,Xᵀy/(λ),Xᵀy,A
AI & ML,ML Formula,Medium,Logistic regression: P(y=1|x) = ?,1/(1 + e^−(wᵀx+b)),wᵀx + b,e^(wᵀx+b),tanh(wᵀx+b),A
AI & ML,ML Formula,Hard,SVM margin = ?,2/||w||,1/||w||,||w||/2,2||w||,A
AI & ML,ML Formula,Hard,SVM optimization: minimize ?,(1/2)||w||²,||w||,(1/2)||w||² + C×Σξᵢ (soft margin),Both A and C for respective cases,D
AI & ML,ML Formula,Hard,PCA: eigenvalue decomposition of ?,Covariance matrix XᵀX/n,Data matrix X,Gram matrix XXᵀ,Correlation matrix,A
AI & ML,ML Formula,Hard,Variance explained by PC k = ?,λₖ/Σλⱼ (ratio of k-th eigenvalue to sum),λₖ only,λₖ²/Σλⱼ²,1/λₖ,A
AI & ML,ML Formula,Hard,K-Means objective: minimize ?,Σᵢ Σₓ∈Cᵢ ||x − μᵢ||²,Σᵢ ||μᵢ||²,Σᵢ Σₓ||x||²,Σᵢ|Cᵢ|,A
AI & ML,ML Formula,Hard,EM algorithm: E-step computes ?,Expected complete-data log likelihood Q(θ|θ_old),Maximum likelihood,Gradient of loss,Posterior of parameters,A
AI & ML,ML Formula,Hard,ELBO (Evidence Lower BOund) = ?,"E[log p(x,z)] − E[log q(z)] (used in VAE)",log p(x),KL(q||p),E[log q(z)],A
AI & ML,ML Formula,Hard,VAE reparameterization: z = ?,"μ + σ×ε where ε~N(0,I)","sample from N(μ,σ)",μ only,"N(0,1) sample",A
AI & ML,ML Formula,Hard,GAN min-max: min_G max_D ?,E[log D(x)] + E[log(1−D(G(z)))],E[D(x)] − E[D(G(z))],E[log G(z)],E[D(G(z))],A
AI & ML,ML Formula,Hard,"Attention: Attention(Q,K,V) = ?",softmax(QKᵀ/√d_k)V,softmax(QV)K,Q × K × V,softmax(QK),A
AI & ML,ML Formula,Hard,Scaled dot-product attention scaling by ?,√d_k (square root of key dimension),d_k,d_k²,1/d_k,A
AI & ML,ML Formula,Hard,BLEU score n-gram precision = ?,clipped count of matching n-grams / total n-grams in hypothesis,Total matches / total in reference,Exact string matches,Character-level matches,A
AI & ML,ML Formula,Hard,Perplexity = ?,"2^H(p) where H is cross-entropy, or e^(avg loss) for neural LMs",e^accuracy,2^accuracy,1/accuracy,A
AI & ML,ML Formula,Hard,Expected Calibration Error (ECE) = ?,Weighted average of |accuracy − confidence| across bins,Mean confidence − mean accuracy,Max |accuracy − confidence|,Mean squared calibration error,A
AI & ML,ML Formula,Hard,F1 harmonic mean formula: 2PR/(P+R) vs arithmetic mean (P+R)/2: which is more conservative?,Harmonic mean (F1) — punishes large gaps between P and R more,Arithmetic mean,Both identical,Neither is conservative,A
AI & ML,ML Formula,Hard,Macro-averaging F1:,Compute F1 per class then average — treats all classes equally,Weight classes by frequency,Weight by support,Take maximum F1,A
AI & ML,ML Formula,Hard,Weighted-averaging F1:,"Compute F1 per class, weight by number of true instances (support)",Treat all classes equally,Only for binary,Average then weight,A
AI & ML,ML Formula,Hard,Cohen's Kappa = ?,(Accuracy − Expected_Accuracy)/(1 − Expected_Accuracy),Accuracy only,F1 × 2,(TP−TN)/N,A
AI & ML,ML Formula,Hard,Matthews Correlation Coefficient (MCC) = ?,(TP×TN−FP×FN)/√[(TP+FP)(TP+FN)(TN+FP)(TN+FN)],(TP+TN)/N,F1 × Accuracy,Precision − Recall,A
AI & ML,ML Formula,Hard,Gradient of MSE loss w.r.t. ŷ = ?,2(ŷ − y)/n,(ŷ − y),2(y − ŷ)/n,(y − ŷ),A
AI & ML,ML Formula,Hard,Gradient of cross-entropy loss w.r.t. logits (after softmax) = ?,ŷ − y (softmax output minus one-hot label),y − ŷ,ŷ × y,y / ŷ,A
AI & ML,ML Formula,Hard,Chain rule for backprop: ∂L/∂w = ?,(∂L/∂a) × (∂a/∂z) × (∂z/∂w),∂L/∂a + ∂a/∂z,∂L/∂a / ∂z/∂w,∂L/∂z only,A
AI & ML,ML Formula,Hard,"Xavier initialization variance for layer with n_in, n_out:",2/(n_in + n_out),1/n_in,2/n_in,1/(n_in × n_out),A
AI & ML,ML Formula,Hard,He initialization variance:,2/n_in,1/n_in,2/(n_in + n_out),1/n_out,A
AI & ML,ML Formula,Hard,Batch normalization: x_norm = ?,(x − μ_B)/√(σ_B² + ε),(x − μ)/σ,x/σ_B,(x − μ_B),A
AI & ML,ML Formula,Hard,"After BN normalization, output y = ?",γ × x_norm + β (learnable scale γ and shift β),x_norm only,x_norm + β,γ × x_norm,A
AI & ML,ML Formula,Hard,Adam update: m = βm + (1−β)g; v = β₂v + (1−β₂)g². Weight update = ?,w − lr × m̂/√(v̂ + ε),w − lr × g,w − lr × m,w − lr/v,A
AI & ML,ML Formula,Medium,Number of parameters in fully connected layer (n_in→n_out):,n_in × n_out + n_out (weights + biases),n_in × n_out,n_in + n_out,n_in × n_out × 2,A
AI & ML,ML Formula,Hard,"Convolutional layer parameters: kernel k×k, in_channels C_in, out_channels C_out:",k × k × C_in × C_out + C_out,k × k × C_out,C_in × C_out,k × k × C_in,A
